CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
1100271686-101000391452,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-15 10:50:18,2011-09-18 04:50:18,2011-09-15 12:32:02,-2.68,Flooding,,,Unknown,Unknown,Unknown
1100273390-101000393038,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-16 11:52:43,2011-09-19 05:52:43,2011-09-16 12:47:32,-2.71,Flooding,,,Unknown,Unknown,Unknown
1100273604-101000393209,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-16 13:48:40,2011-09-19 07:48:40,2011-09-16 14:19:33,-2.73,Flooding,,,Unknown,Unknown,Unknown
1100274554-101000394079,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-17 18:13:14,2011-09-20 12:13:14,2011-09-17 19:34:28,-2.69,Flooding,,,Unknown,Unknown,Unknown
1100274703-101000394260,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-18 10:51:45,2011-09-21 04:51:45,2011-09-18 13:11:47,-2.65,Flooding,,,Unknown,Unknown,Unknown
1100274951-101000394464,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 05:52:54,2011-09-21 23:52:54,2011-09-19 08:34:25,-2.64,Flooding,,,Unknown,Unknown,Unknown
1100274955-101000394471,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 05:59:52,2011-09-21 23:59:52,2011-09-19 13:29:00,-2.44,Flooding,,,Unknown,Unknown,Unknown
1100275019-101000394552,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 07:41:49,2011-09-22 01:41:49,2011-09-19 09:02:11,-2.69,Flooding,,,Unknown,Unknown,Unknown
1100275055-101000394580,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 07:58:06,2011-09-22 01:58:06,2011-09-19 08:01:20,-2.75,Flooding,,,Unknown,Unknown,Unknown
1100275138-101000394667,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 08:31:08,2011-09-22 02:31:08,2011-09-19 08:40:12,-2.74,Flooding,,,Unknown,Unknown,Unknown
1100275314-101000394759,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 09:41:46,2011-09-22 03:41:46,2011-09-19 16:54:55,-2.45,Flooding,,,Unknown,Unknown,Unknown
1100275358-101000394817,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 09:53:16,2011-09-22 03:53:16,2011-09-19 10:07:31,-2.74,Flooding,,,Unknown,Unknown,Unknown
1100276347-101000395702,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-19 16:54:40,2011-09-22 10:54:40,2011-09-21 09:45:51,-1.05,Flooding,,,Unknown,Unknown,Unknown
1100279859-101000398850,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-22 06:28:12,2011-09-25 00:28:12,2011-09-23 09:18:50,-1.63,Flooding,,,Unknown,Unknown,Unknown
1100282233-101000400937,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-23 15:34:56,2011-09-26 09:34:56,2011-09-24 20:08:01,-1.56,Flooding,,,Unknown,Unknown,Unknown
1100289769-101000407666,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-09-30 12:23:15,2011-10-03 06:23:15,2011-09-30 12:27:58,-2.75,Flooding,,,Unknown,Unknown,Unknown
1100298139-101000414454,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 09:50:25,2011-10-12 09:50:25,2011-10-09 11:22:25,-2.94,Flooding,,,Unknown,Unknown,Unknown
1100298216-101000414531,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 15:01:47,2011-10-12 15:01:47,2011-10-10 14:45:12,-2.01,Flooding,,,Unknown,Unknown,Unknown
1100298222-101000414524,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 15:15:29,2011-10-12 15:15:29,2011-10-10 12:19:31,-2.12,Flooding,,,Unknown,Unknown,Unknown
1100298236-101000414555,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 15:51:25,2011-10-12 15:51:25,2011-10-10 10:49:59,-2.21,Flooding,,,Unknown,Unknown,Unknown
1100298240-101000414558,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 16:03:21,2011-10-12 16:03:21,2011-10-10 10:50:22,-2.22,Flooding,,,Unknown,Unknown,Unknown
1100298277-101000414572,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 17:49:10,2011-10-12 17:49:10,2011-10-10 10:50:44,-2.29,Flooding,,,Unknown,Unknown,Unknown
1100298333-101000414629,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-09 23:39:23,2011-10-12 23:39:23,2011-10-10 10:51:06,-2.53,Flooding,,,Unknown,Unknown,Unknown
1100298344-101000414638,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-10 06:02:34,2011-10-13 06:02:34,2011-10-10 10:51:27,-2.8,Flooding,,,Unknown,Unknown,Unknown
1100298370-101000414654,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-10 06:33:33,2011-10-13 06:33:33,2011-10-10 10:51:49,-2.82,Flooding,,,Unknown,Unknown,Unknown
1100298670-101000414959,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-10 09:03:17,2011-10-13 09:03:17,2011-10-10 15:05:52,-2.75,Flooding,,,Unknown,Unknown,Unknown
1100298886-101000415159,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-10 10:29:19,2011-10-13 10:29:19,2011-10-10 15:17:25,-2.8,Flooding,,,Unknown,Unknown,Unknown
1100299921-101000415995,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-10 22:30:03,2011-10-13 22:30:03,2011-10-11 08:43:02,-2.57,Flooding,,,Unknown,Unknown,Unknown
1100299940-101000415993,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 02:06:59,2011-10-14 02:06:59,2011-10-11 08:43:03,-2.72,Flooding,,,Unknown,Unknown,Unknown
