CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11454303-101000507810,Intersection 6300 HOPPER RD & 11118 LERA ST,Harris County,B,EAST LITTLE YORK / HOMESTEAD,,NE,NE,TUESDAY,2nd Wednesday,TUESDAY-A,415N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-01 10:59:22,2012-01-11 10:59:22,2012-01-12 13:16:27,1.1,Pothole,3142166.123,13885839.17895,29.8792667,-95.29589846,Voice In
11454589-101000508146,Intersection 4200 FULTON ST & 300 PATTON ST,,H,NEAR NORTHSIDE,,NE,NE,FRIDAY,1st Friday,Friday-b,453Y,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 07:14:45,2012-01-13 07:14:45,2012-01-10 11:00:49,-2.84,Pothole,3120263.83806,13855652.748179998,,,Voice In
11454603-101000508181,"2415 PARKDALE, HOUSTON TX 77339",HARRIS,E,KINGWOOD AREA,1079560000027,,,,,,336D,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 07:50:11,2012-01-13 07:50:11,2012-01-12 13:15:52,-0.77,Pothole,3166774.34,13949494.43,,,Voice In
11454604-101000508183,Intersection 5800 W 34TH ST & 3400 ANTOINE DR,,A,SPRING BRANCH EAST,,NW,,FRIDAY,,,451Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 07:51:35,2012-01-13 07:51:00,2012-01-10 10:53:57,-2.87,Pothole,3086485.52275,13862321.808659997,,,e-mail In
11454611-101000508193,Intersection 800 E 24TH ST & 6400 N MAIN ST,,H,GREATER HEIGHTS,,NW,NE,THURSDAY,1st Friday,Thursday-b,453S,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 07:57:37,2012-01-13 07:56:55,2012-01-10 11:00:07,-2.87,Pothole,3113307.25224,13859066.48053,,,e-mail In
11454640-101000508248,Intersection 800 E CROSSTIMBERS ST & 7500 IRVINGTON BLVD,,H,NORTHSIDE/NORTHLINE,,NE,NE,MONDAY,3rd Monday,Monday-a,453M,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 08:41:53,2012-01-13 08:41:53,2012-01-10 10:59:15,-2.9,Pothole,3122020.36933,13866887.19783,,,Voice In
11455337-101000508310,7515 MAIN TX 77030,HARRIS,K,MEDICAL CENTER AREA,0620200000012,,,,,,532L,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 09:12:01,2012-01-13 09:12:01,2012-01-04 11:20:36,-8.91,Pothole,3107987.03,13819041.24,29.69859329,-95.4101681,Voice In
11454724-101000508447,"930 GENOA, HOUSTON TX 77587",HARRIS,E,EDGEBROOK AREA,0421800000232,SE,SW,THURSDAY,2nd Monday,THURSDAY-B,576A,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 10:18:48,2012-01-13 10:18:48,2012-01-11 10:34:33,-1.99,Pothole,3164132.19,13803963.42,29.65229443,-95.23493685,Voice In
11454730-101000508453,Intersection 8400 NEFF ST & 7200 TANGLEWILDE ST,Harris County,J,SHARPSTOWN,,SW,SW,TUESDAY,2nd Monday,TUESDAY-B,530F,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 10:22:21,2012-01-13 10:22:21,2012-01-12 16:52:00,-0.73,Pothole,3068998.94617,13818896.35057,29.70142937,-95.53293617,Voice In
11454762-101000508530,"900 RICHMOND, HOUSTON TX 77006",HARRIS,C,NEARTOWN - MONTROSE,0230810000004,NW,NW,MONDAY,2nd Wednesday,Monday-b,493W,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 10:57:11,2012-01-13 10:57:10,2012-01-24 11:41:08,11.03,Pothole,3113953.57,13832372.19,29.73473159,-95.39008711,Voice In
11454796-101000508605,"6721 ILEX, HOUSTON TX 77087",HARRIS,I,PECAN PARK,0690870430009,SE,SE,MONDAY,1st Tuesday,MONDAY-B,534H,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 11:32:36,2012-01-13 11:32:36,2012-01-11 10:13:22,-2.06,Pothole,3143370.09,13824665.79,29.71102069,-95.29821016,Voice In
11454811-101000508639,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 11:49:53,2012-01-13 11:49:53,2012-01-12 12:46:53,-0.96,Pothole,,,Unknown,Unknown,Voice In
