CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11718768-101001239130,Intersection 8800 ALCOTT DR & 2500 HOLLISTER ST,,A,SPRING BRANCH CENTRAL,,NW,NE,FRIDAY,4th Thursday,Friday-a,450R,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-07 09:31:34,2014-01-10 09:31:34,2014-01-07 15:09:59,-2.76,Flooding-101001239130,3075143.84727,13861154.962899998,,,Voice In
11719654-101001241879,"10841 BISSONNET, HOUSTON TX 77099",HARRIS,F,ALIEF,1090410000002,,,,,,529U,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-09 12:16:38,2014-01-12 12:16:38,2014-01-09 15:34:59,-2.86,Flooding-101001241879,3057309.80781,13808533.344060002,29.67389051,-95.57069801,Voice In
11720857-101001245008,Intersection 1036 UVALDE RD & 13400 VICKSBURG ST,,E,NORTHSHORE,,NE,NE,THURSDAY,1st Monday,non active,497E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-13 09:45:56,2014-01-16 09:45:55,2014-01-13 15:50:00,-2.75,Flooding-101001245008,3178010.40663,13849338.45307,,,Voice In
11722366-101001248867,"14103 QUEENSBURY, HOUSTON TX 77079",HARRIS,G,MEMORIAL,0974330000009,,,,,,489A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-15 20:58:37,2014-01-18 20:58:37,2014-01-16 16:34:10,-2.18,Flooding,,,29.77763888,-95.59224307,Unknown
11725152-101001256248,"1441 SHADELAND, HOUSTON TX 77043",HARRIS,A,SPRING BRANCH WEST,0831540000029,NW,NE,FRIDAY,4th Friday,FRIDAY-A,449Z,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-23 11:55:25,2014-01-26 11:55:25,2014-01-23 14:49:09,-2.88,Flooding-101001256248,3062125.5403,13852928.15291,29.79553525,-95.55141731,Voice In
11727453-101001262249,"11315 SAGEWAY, HOUSTON TX 77089",HARRIS,D,SOUTH BELT / ELLINGTON,0960670000012,SE,SE,THURSDAY,2nd Thursday,THURSDAY-B,576Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-01-30 13:24:08,2014-02-02 13:24:08,2014-01-30 13:34:59,-2.99,Flooding,,,29.60164181,-95.20798054,WEB
11729473-101001267870,"9714 MARIPOSA, HOUSTON TX 77025",HARRIS,K,BRAESWOOD,0761850060011,SW,SE,THURSDAY,3rd Monday,THURSDAY-A,532T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-05 14:24:05,2014-02-08 14:24:05,2014-02-05 16:19:59,-2.92,Flooding,,,29.68094807,-95.42912891,WEB
11731639-101001273849,Intersection 0 S LOOP FWY W & 10000 MAIN ST,,K,SOUTH MAIN,,,,,,,532T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-12 06:57:53,2014-02-15 06:57:53,2014-02-12 07:34:59,-2.97,Flooding-101001273849,3102587.2914,13811109.04659,,,Voice In
11733058-101001277345,"1502 SCOTT, HOUSTON TX 77003",HARRIS,I,GREATER EASTWOOD,0563030000001,SE,SE,MONDAY,1st Friday,MONDAY-A,494S,East Downtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-15 01:34:35,2014-02-18 01:30:00,2014-02-15 02:34:58,-2.95,Flooding,,,29.73990805,-95.34592657,Voice In
11735616-101001283535,"3930 LAW, HOUSTON TX 77005",HARRIS,C,GREENWAY / UPPER KIRBY AREA,0740710080040,SW,SE,TUESDAY,1st Friday,TUESDAY-B,492W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-20 17:35:53,2014-02-23 17:35:53,2014-02-21 16:04:58,-2.06,Flooding,,,29.72474659,-95.44110948,WEB
